Professione1;Professione2;common skilz
Infermieri (livello intermedio);Segretari addetti a mansioni amministrative ed esecutive;52
Infermieri (livello intermedio);Sviluppatori di software;44
Infermieri (livello intermedio);Dirigenti dell'industria manifatturiera;63
Infermieri (livello intermedio);Addetti alla gestione amministrativa dei trasporti;46
Infermieri (livello intermedio);Tecnici per la gestione dell'informazione e della comunicazione;56
Infermieri (livello intermedio);Disegnatori industriali;49
Infermieri (livello intermedio);Chef;39
Infermieri (livello intermedio);Responsabili degli acquisti;62
Infermieri (livello intermedio);Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;49
Infermieri (livello intermedio);Sviluppatori Web e multimediali;50
Infermieri (livello intermedio);Dirigenti nel settore ricerca e sviluppo;64
Infermieri (livello intermedio);Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;57
Infermieri (livello intermedio);Grafici e progettisti multimediali;43
Infermieri (livello intermedio);Specialisti della pubblicitˆ e del marketing;49
Infermieri (livello intermedio);Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;62
Infermieri (livello intermedio);Dirigenti nei servizi finanziari;50
Infermieri (livello intermedio);Esattori di crediti ed assimilati;51
Infermieri (livello intermedio);Dirigenti nei servizi sanitari;65
Infermieri (livello intermedio);Specialisti nell'assistenza sociale e nell'orientamento;58
Infermieri (livello intermedio);Tecnici dei centri di informazione;59
Infermieri (livello intermedio);Aiuto contabili;45
Infermieri (livello intermedio);Ingegneri elettronici;39
Infermieri (livello intermedio);Addetti all'informazione;51
Infermieri (livello intermedio);Contabili;55
Infermieri (livello intermedio);Dirigenti nel commercio all'ingrosso e al dettaglio;66
Tecnici meccanici;Personale di ufficio con compiti generali;39
Tecnici meccanici;Analisti di sistema;53
Tecnici meccanici;Addetti alla gestione degli stock;28
Tecnici meccanici;Tecnici delle scienze sociali;28
Tecnici meccanici;Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;57
Tecnici meccanici;Dirigenti nei servizi di vendita e commercializzazione;51
Tecnici meccanici;Addetti a servizi statistici, finanziari e assicurativi;39
Tecnici meccanici;Agenti immobiliari e amministratori;58
Tecnici meccanici;Segretari addetti a mansioni amministrative ed esecutive;45
Tecnici meccanici;Sviluppatori di software;44
Tecnici meccanici;Dirigenti dell'industria manifatturiera;69
Tecnici meccanici;Addetti alla gestione amministrativa dei trasporti;48
Tecnici meccanici;Tecnici per la gestione dell'informazione e della comunicazione;60
Tecnici meccanici;Disegnatori industriali;64
Tecnici meccanici;Chef;33
Tecnici meccanici;Responsabili degli acquisti;61
Tecnici meccanici;Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;51
Tecnici meccanici;Sviluppatori Web e multimediali;53
Tecnici meccanici;Dirigenti nel settore ricerca e sviluppo;58
Tecnici meccanici;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;57
Tecnici meccanici;Grafici e progettisti multimediali;43
Tecnici meccanici;Specialisti della pubblicitˆ e del marketing;38
Tecnici meccanici;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;54
Tecnici meccanici;Dirigenti nei servizi finanziari;44
Tecnici meccanici;Esattori di crediti ed assimilati;36
Tecnici meccanici;Dirigenti nei servizi sanitari;56
Tecnici meccanici;Specialisti nell'assistenza sociale e nell'orientamento;36
Tecnici meccanici;Tecnici dei centri di informazione;49
Tecnici meccanici;Aiuto contabili;36
Tecnici meccanici;Ingegneri elettronici;51
Tecnici meccanici;Addetti all'informazione;37
Tecnici meccanici;Contabili;49
Tecnici meccanici;Dirigenti nel commercio all'ingrosso e al dettaglio;53
Personale di ufficio con compiti generali;Analisti di sistema;50
Personale di ufficio con compiti generali;Addetti alla gestione degli stock;34
Personale di ufficio con compiti generali;Tecnici delle scienze sociali;31
Personale di ufficio con compiti generali;Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;59
Personale di ufficio con compiti generali;Dirigenti nei servizi di vendita e commercializzazione;58
Personale di ufficio con compiti generali;Addetti a servizi statistici, finanziari e assicurativi;55
Personale di ufficio con compiti generali;Agenti immobiliari e amministratori;63
Personale di ufficio con compiti generali;Segretari addetti a mansioni amministrative ed esecutive;62
Personale di ufficio con compiti generali;Sviluppatori di software;45
Personale di ufficio con compiti generali;Dirigenti dell'industria manifatturiera;61
Personale di ufficio con compiti generali;Addetti alla gestione amministrativa dei trasporti;48
Personale di ufficio con compiti generali;Tecnici per la gestione dell'informazione e della comunicazione;60
Personale di ufficio con compiti generali;Disegnatori industriali;47
Personale di ufficio con compiti generali;Chef;32
Personale di ufficio con compiti generali;Responsabili degli acquisti;69
Personale di ufficio con compiti generali;Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;53
Personale di ufficio con compiti generali;Sviluppatori Web e multimediali;47
Personale di ufficio con compiti generali;Dirigenti nel settore ricerca e sviluppo;48
Personale di ufficio con compiti generali;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;54
Personale di ufficio con compiti generali;Grafici e progettisti multimediali;38
Personale di ufficio con compiti generali;Specialisti della pubblicitˆ e del marketing;47
Personale di ufficio con compiti generali;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;58
Personale di ufficio con compiti generali;Dirigenti nei servizi finanziari;51
Personale di ufficio con compiti generali;Esattori di crediti ed assimilati;50
Personale di ufficio con compiti generali;Dirigenti nei servizi sanitari;54
Personale di ufficio con compiti generali;Specialisti nell'assistenza sociale e nell'orientamento;45
Personale di ufficio con compiti generali;Tecnici dei centri di informazione;56
Personale di ufficio con compiti generali;Aiuto contabili;61
Personale di ufficio con compiti generali;Ingegneri elettronici;37
Personale di ufficio con compiti generali;Addetti all'informazione;52
Personale di ufficio con compiti generali;Contabili;57
Personale di ufficio con compiti generali;Dirigenti nel commercio all'ingrosso e al dettaglio;60
Analisti di sistema;Addetti alla gestione degli stock;24
Analisti di sistema;Tecnici delle scienze sociali;31
Analisti di sistema;Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;69
Analisti di sistema;Dirigenti nei servizi di vendita e commercializzazione;70
Analisti di sistema;Addetti a servizi statistici, finanziari e assicurativi;57
Analisti di sistema;Agenti immobiliari e amministratori;66
Analisti di sistema;Segretari addetti a mansioni amministrative ed esecutive;58
Analisti di sistema;Sviluppatori di software;89
Analisti di sistema;Dirigenti dell'industria manifatturiera;62
Analisti di sistema;Addetti alla gestione amministrativa dei trasporti;38
Analisti di sistema;Tecnici per la gestione dell'informazione e della comunicazione;71
Analisti di sistema;Disegnatori industriali;56
Analisti di sistema;Chef;38
Analisti di sistema;Responsabili degli acquisti;68
Analisti di sistema;Tecnici per l'assistenza agli utenti della tecnologia dell'informazione e della comunicazione;65
Analisti di sistema;Sviluppatori Web e multimediali;88
Analisti di sistema;Dirigenti nel settore ricerca e sviluppo;74
Analisti di sistema;Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;86
Analisti di sistema;Grafici e progettisti multimediali;58
Analisti di sistema;Specialisti della pubblicitˆ e del marketing;62
Analisti di sistema;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;69
Analisti di sistema;Dirigenti nei servizi finanziari;63
Analisti di sistema;Esattori di crediti ed assimilati;43
Analisti di sistema;Dirigenti nei servizi sanitari;50
Analisti di sistema;Specialisti nell'assistenza sociale e nell'orientamento;53
Analisti di sistema;Tecnici dei centri di informazione;57
Analisti di sistema;Aiuto contabili;46
Analisti di sistema;Ingegneri elettronici;50
Analisti di sistema;Addetti all'informazione;46
Analisti di sistema;Contabili;74
Analisti di sistema;Dirigenti nel commercio all'ingrosso e al dettaglio;75
Addetti alla gestione degli stock;Tecnici delle scienze sociali;18
Addetti alla gestione degli stock;Dirigenti nei servizi di pubblicitˆ e pubbliche relazioni;34
