Professione1;Professione2;common skilz
Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;Tecnici dei centri di informazione;59
Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;Aiuto contabili;49
Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;Ingegneri elettronici;49
Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;Addetti all'informazione;52
Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;Contabili;76
Dirigenti nei servizi delle tecnologie dell'informazione e della comunicazione;Dirigenti nel commercio all'ingrosso e al dettaglio;85
Grafici e progettisti multimediali;Specialisti della pubblicitˆ e del marketing;48
Grafici e progettisti multimediali;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;53
Grafici e progettisti multimediali;Dirigenti nei servizi finanziari;47
Grafici e progettisti multimediali;Esattori di crediti ed assimilati;37
Grafici e progettisti multimediali;Dirigenti nei servizi sanitari;48
Grafici e progettisti multimediali;Specialisti nell'assistenza sociale e nell'orientamento;46
Grafici e progettisti multimediali;Tecnici dei centri di informazione;46
Grafici e progettisti multimediali;Aiuto contabili;34
Grafici e progettisti multimediali;Ingegneri elettronici;49
Grafici e progettisti multimediali;Addetti all'informazione;41
Grafici e progettisti multimediali;Contabili;54
Grafici e progettisti multimediali;Dirigenti nel commercio all'ingrosso e al dettaglio;57
Specialisti della pubblicitˆ e del marketing;Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;69
Specialisti della pubblicitˆ e del marketing;Dirigenti nei servizi finanziari;66
Specialisti della pubblicitˆ e del marketing;Esattori di crediti ed assimilati;40
Specialisti della pubblicitˆ e del marketing;Dirigenti nei servizi sanitari;53
Specialisti della pubblicitˆ e del marketing;Specialisti nell'assistenza sociale e nell'orientamento;51
Specialisti della pubblicitˆ e del marketing;Tecnici dei centri di informazione;54
Specialisti della pubblicitˆ e del marketing;Aiuto contabili;45
Specialisti della pubblicitˆ e del marketing;Ingegneri elettronici;37
Specialisti della pubblicitˆ e del marketing;Addetti all'informazione;43
Specialisti della pubblicitˆ e del marketing;Contabili;74
Specialisti della pubblicitˆ e del marketing;Dirigenti nel commercio all'ingrosso e al dettaglio;88
Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;Dirigenti nei servizi finanziari;80
Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;Esattori di crediti ed assimilati;51
Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;Dirigenti nei servizi sanitari;76
Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;Specialisti nell'assistenza sociale e nell'orientamento;62
Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;Tecnici dei centri di informazione;60
Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;Aiuto contabili;60
Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;Ingegneri elettronici;44
Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;Addetti all'informazione;52
Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;Contabili;81
Dirigenti nei servizi di approvvigionamento, distribuzione ed assimilati;Dirigenti nel commercio all'ingrosso e al dettaglio;94
Dirigenti nei servizi finanziari;Esattori di crediti ed assimilati;47
Dirigenti nei servizi finanziari;Dirigenti nei servizi sanitari;64
Dirigenti nei servizi finanziari;Specialisti nell'assistenza sociale e nell'orientamento;52
Dirigenti nei servizi finanziari;Tecnici dei centri di informazione;51
Dirigenti nei servizi finanziari;Aiuto contabili;54
Dirigenti nei servizi finanziari;Ingegneri elettronici;42
Dirigenti nei servizi finanziari;Addetti all'informazione;38
Dirigenti nei servizi finanziari;Contabili;83
Dirigenti nei servizi finanziari;Dirigenti nel commercio all'ingrosso e al dettaglio;89
Esattori di crediti ed assimilati;Dirigenti nei servizi sanitari;52
Esattori di crediti ed assimilati;Specialisti nell'assistenza sociale e nell'orientamento;42
Esattori di crediti ed assimilati;Tecnici dei centri di informazione;63
Esattori di crediti ed assimilati;Aiuto contabili;59
Esattori di crediti ed assimilati;Ingegneri elettronici;36
Esattori di crediti ed assimilati;Addetti all'informazione;48
Esattori di crediti ed assimilati;Contabili;55
Esattori di crediti ed assimilati;Dirigenti nel commercio all'ingrosso e al dettaglio;62
Dirigenti nei servizi sanitari;Specialisti nell'assistenza sociale e nell'orientamento;57
Dirigenti nei servizi sanitari;Tecnici dei centri di informazione;71
Dirigenti nei servizi sanitari;Aiuto contabili;56
Dirigenti nei servizi sanitari;Ingegneri elettronici;50
Dirigenti nei servizi sanitari;Addetti all'informazione;48
Dirigenti nei servizi sanitari;Contabili;66
Dirigenti nei servizi sanitari;Dirigenti nel commercio all'ingrosso e al dettaglio;84
Specialisti nell'assistenza sociale e nell'orientamento;Tecnici dei centri di informazione;50
Specialisti nell'assistenza sociale e nell'orientamento;Aiuto contabili;44
Specialisti nell'assistenza sociale e nell'orientamento;Ingegneri elettronici;38
Specialisti nell'assistenza sociale e nell'orientamento;Addetti all'informazione;47
Specialisti nell'assistenza sociale e nell'orientamento;Contabili;52
Specialisti nell'assistenza sociale e nell'orientamento;Dirigenti nel commercio all'ingrosso e al dettaglio;61
Tecnici dei centri di informazione;Aiuto contabili;61
Tecnici dei centri di informazione;Ingegneri elettronici;44
Tecnici dei centri di informazione;Addetti all'informazione;63
Tecnici dei centri di informazione;Contabili;58
Tecnici dei centri di informazione;Dirigenti nel commercio all'ingrosso e al dettaglio;73
Aiuto contabili;Ingegneri elettronici;30
Aiuto contabili;Addetti all'informazione;51
Aiuto contabili;Contabili;63
Aiuto contabili;Dirigenti nel commercio all'ingrosso e al dettaglio;64
Ingegneri elettronici;Addetti all'informazione;33
Ingegneri elettronici;Contabili;46
Ingegneri elettronici;Dirigenti nel commercio all'ingrosso e al dettaglio;48
Addetti all'informazione;Contabili;45
Addetti all'informazione;Dirigenti nel commercio all'ingrosso e al dettaglio;55
Contabili;Dirigenti nel commercio all'ingrosso e al dettaglio;90
